,Bankrupt?
Bankrupt?,1
 ROA(C) before interest and depreciation before interest,-0.586131022
 ROA(A) before interest and % after tax,-0.542946383
 ROA(B) before interest and depreciation after tax,-0.574854053
 Operating Gross Margin,-0.381932882
 Realized Sales Gross Margin,-0.381750896
 Operating Profit Rate,-0.598409752
 Pre-tax net Interest Rate,-0.618043287
 After-tax net Interest Rate,-0.616623832
 Non-industry income and expenditure/revenue,-0.431803537
 Continuous interest rate (after tax),-0.611788237
 Operating Expense Rate,0.044246125
 Research and development expense rate,-0.303573313
 Cash flow rate,-0.372645414
 Interest-bearing debt interest rate,0.188495564
 Tax rate (A),-0.364988328
 Net Value Per Share (B),-0.617428198
 Net Value Per Share (A),-0.617428198
 Net Value Per Share (C),-0.577336662
 Persistent EPS in the Last Four Seasons,-0.648167249
 Cash Flow Per Share,-0.525652183
 Revenue Per Share (Yuan ¥),-0.036101527
 Operating Profit Per Share (Yuan ¥),-0.571619552
 Per Share Net profit before tax (Yuan ¥),-0.630074474
 Realized Sales Gross Profit Growth Rate,0.295846627
 Operating Profit Growth Rate,0.037350971
 After-tax Net Profit Growth Rate,-0.016691757
 Regular Net Profit Growth Rate,-0.018292259
 Continuous Net Profit Growth Rate,-0.129516113
 Total Asset Growth Rate,-0.14678986
 Net Value Growth Rate,-0.620035687
 Total Asset Return Growth Rate Ratio,-0.263996184
 Cash Reinvestment %,-0.516546479
 Current Ratio,-0.368354309
 Quick Ratio,-0.355989509
 Interest Expense Ratio,0.131337314
 Total debt/Total net worth,0.521769369
 Debt ratio %,0.566753321
 Net worth/Assets,-0.566753321
 Long-term fund suitability ratio (A),-0.227698702
 Borrowing dependency,0.048999663
 Contingent liabilities/Net worth,0.198404141
 Operating profit/Paid-in capital,-0.572384519
 Net profit before tax/Paid-in capital,-0.630284751
 Inventory and accounts receivable/Net value,-0.017069551
 Total Asset Turnover,-0.051941438
 Accounts Receivable Turnover,0.131252059
 Average Collection Days,-0.185181644
 Inventory Turnover Rate (times),-0.020592098
 Fixed Assets Turnover Frequency,0.08343217
 Net Worth Turnover Rate (times),0.265989659
 Revenue per person,0.125249103
 Operating profit per person,-0.518365813
 Allocation rate per person,0.33078051
 Working Capital to Total Assets,-0.513776434
 Quick Assets/Total Assets,-0.014048848
 Current Assets/Total Assets,0.013058673
 Cash/Total Assets,-0.139104214
 Quick Assets/Current Liability,-0.348722741
 Cash/Current Liability,0.259242122
 Current Liability to Assets,0.572199331
 Operating Funds to Liability,-0.331363603
 Inventory/Working Capital,0.111746928
 Inventory/Current Liability,-0.275867772
 Current Liabilities/Liability,0.192011349
 Working Capital/Equity,-0.282056755
 Current Liabilities/Equity,0.036844852
 Long-term Liability to Current Assets,0.009532845
 Retained Earnings to Total Assets,-0.663405419
 Total income/Total expense,-0.601951671
 Total expense/Assets,0.18925045
 Current Asset Turnover Rate,0.063726092
 Quick Asset Turnover Rate,0.003577606
 Working capitcal Turnover Rate,-0.097129966
 Cash Turnover Rate,-0.126640919
 Cash Flow to Sales,-0.113221511
 Fixed Assets to Assets,0.052339024
 Current Liability to Liability,0.192011349
 Current Liability to Equity,0.036844852
 Equity to Long-term Liability,-0.121773295
 Cash Flow to Total Assets,-0.133031297
 Cash Flow to Liability,-0.142818005
 CFO to Assets,-0.503480955
 Cash Flow to Equity,-0.340654353
 Current Liability to Current Assets,0.599312285
 Liability-Assets Flag,0.259242122
 Net Income to Total Assets,-0.586035154
 Total assets to GNP price,0.008293457
 No-credit Interval,-0.475760962
 Gross Profit to Sales,-0.381926161
 Net Income to Stockholder's Equity,0.153627878
 Liability to Equity,0.035984521
 Degree of Financial Leverage (DFL),0.185077014
 Interest Coverage Ratio (Interest expense to EBIT),0.045978007
 Net Income Flag,
 Equity to Liability,-0.372430863
