,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
Bankrupt?,1.0,-0.586131022470239,-0.5429463827743126,-0.574854053149997,-0.38193288229214023,-0.38175089550827224,-0.5984097524374167,-0.6180432870533591,-0.6166238319820857,-0.4318035369145242,-0.6117882373320991,0.04424612538636719,-0.30357331274741134,-0.3726454136330556,0.18849556385593652,-0.36498832797668485,-0.6174281984266018,-0.6174281984266018,-0.5773366619095148,-0.6481672486059272,-0.525652182988299,-0.03610152676852688,-0.5716195524587526,-0.6300744737385541,0.2958466274228905,0.037350971222111756,-0.016691757155445196,-0.018292258685352183,-0.1295161131027471,-0.1467898600629783,-0.6200356870336191,-0.2639961838718815,-0.5165464791024688,-0.36835430861092433,-0.35598950924649425,0.13133731391784412,0.5217693694316622,0.5667533212020588,-0.5667533212020606,-0.22769870189071248,0.048999662612239404,0.19840414060229333,-0.5723845187284528,-0.6302847514955652,-0.01706955103702599,-0.05194143802835027,0.13125205880995813,-0.18518164374657403,-0.020592097952319355,0.08343217006497927,0.2659896592955984,0.12524910315552415,-0.5183658127566597,0.3307805095731999,-0.5137764344569805,-0.014048848130384251,0.013058672833705482,-0.139104214102489,-0.3487227408887699,0.2592421218315229,0.5721993314690185,-0.3313636026560885,0.11174692780299081,-0.27586777245131316,0.192011348590985,-0.282056755451786,0.03684485200005237,0.009532844804075702,-0.6634054192606266,-0.6019516713128209,0.1892504501300623,0.06372609234321322,0.003577605875518137,-0.09712996609768922,-0.12664091862164809,-0.11322151085659092,0.05233902439478246,0.192011348590985,0.03684485200005237,-0.12177329488280912,-0.13303129715801168,-0.14281800457348798,-0.5034809553834574,-0.3406543528496409,0.5993122854958607,0.25924212183361217,-0.5860351542512315,0.008293456768757377,-0.47576096210993724,-0.381926161256794,0.15362787776886033,0.03598452058895272,0.18507701437853696,0.045978006765544435,,-0.37243086290291144
 ROA(C) before interest and depreciation before interest,-0.586131022470239,1.0,0.9720513252562156,0.9942130608743892,0.27185590156819256,0.2715449173515684,0.6413300246544705,0.6656058565066761,0.6577502789332531,0.46682934362645406,0.6380069626552121,0.044522332645030346,0.1352105101698207,0.40729429110804827,-0.003993128692593072,0.3927483765028348,0.724768099794665,0.724768099794665,0.7047735642155909,0.9681739419202972,0.5775447235281659,0.03350980999567362,0.7429583305456589,0.9577678179837877,-0.05102329813269125,0.05961999945324564,0.17963943595611367,0.17960446202352984,0.5127233153685269,0.11774950569838072,0.9323726174818611,0.8140783655895741,0.747923647293078,0.3039173246129244,0.2602536259360005,0.08011143878880515,-0.847679398961379,-0.5984106257355721,0.5984106257355726,0.16624738843864853,0.5428011258553304,0.07478807339240152,0.7394087737509486,0.9547588520417758,0.5824301418875598,-0.02599104839662841,-0.045671311081617594,0.10199003148301694,0.0973590917920049,-0.08030071417472992,-0.46119233923439634,-0.023672015518838484,0.6566892658963519,-0.08523351687833894,0.4354418776946776,-0.09966656271207094,-0.04385570089965222,-0.1102902832317869,0.2551984944772695,-0.10592969016900816,-0.5161437596578465,0.44016578867858763,0.026293035105012824,0.30879251727564233,-0.017421526216363736,-0.2310906972253948,0.5764766813180398,-0.08539386521262987,0.7912328546145266,0.6218942856383809,-0.5579659007951691,-0.05218760790176433,-0.0998292231398402,0.11983876707087837,-0.08640868257441428,0.015540989275702218,0.15159694032181137,-0.017421526216363736,0.5764766813180398,0.5756139311285366,-0.1732367149262328,0.03750191062858047,0.6114006111822589,0.8209584901266803,-0.4117130952254061,-0.7888235112230794,0.9707698249160268,-0.08667135821732062,0.17276803382750375,0.27186017500406784,-0.6925445471239927,0.5549388364436801,-0.029752543501158725,0.03653762808791316,,0.36682141014855296
 ROA(A) before interest and % after tax,-0.5429463827743126,0.9720513252562156,1.0,0.9785558483383011,0.24997917563843208,0.24971337735964516,0.5767470623998733,0.6625515382516501,0.6662653698782419,0.49869609929003034,0.6023867824149953,0.039180720002181604,0.159544666813591,0.3345104918227196,0.02264165622876029,0.3138228295518803,0.7253975602855353,0.7253975602855353,0.7102143775378774,0.9453426387621829,0.4742877063846303,-0.028284108829936445,0.6673881295781791,0.9556890204958993,0.007011410599333354,0.06369304000642255,0.19424134834353535,0.19378564311319174,0.5002879692580021,0.08838145552412283,0.9476490518992479,0.8731695424864808,0.6981500658801532,0.2663473838453242,0.22462636314110435,0.12366637279909976,-0.8662411228493642,-0.5802909234785943,0.5802909234785943,0.217115816059407,0.6027695533623485,0.15061440225420897,0.6635660210928106,0.9529693354519938,0.6079472499935781,-0.10299379793843809,-0.05174481024867338,0.10566877962151583,0.09821869859510562,-0.07006732619950098,-0.5235960430137914,-0.04096322157671122,0.6140919568875784,-0.04704940362850623,0.3915873560109527,-0.17502724123096278,-0.11648687811307662,-0.18136820390755384,0.21632553930602363,-0.06860705444242898,-0.5374463397345693,0.3448480310107071,0.045909027067567644,0.2889085178139428,-0.09009612763834289,-0.29359550906503956,0.6269836910985506,-0.0004207304483706509,0.795787340027495,0.6245398308886629,-0.6244334219979422,-0.09171114112287453,-0.08307981680862643,0.12861908721377327,-0.13669716349469413,-0.027312362416995525,0.06611601780904919,-0.09009612763834289,0.6269836910985506,0.6326720298238235,-0.23179170579386899,-0.016261225438508657,0.5079693110760375,0.8526502472011173,-0.3735941412757725,-0.8333780021558241,0.9945866086372123,0.014702946774330965,0.14165306012034398,0.24998734286084098,-0.7389154847907403,0.612607428767095,0.009246336032469191,0.0349902771065141,,0.3327606259962463
 ROA(B) before interest and depreciation after tax,-0.574854053149997,0.9942130608743892,0.9785558483383011,1.0,0.23933963181916545,0.23907283996338752,0.5924701316831535,0.6501966178375882,0.6512568626541414,0.4747847139421756,0.6293189757759591,0.0761187618737847,0.13283743137884402,0.37755104959075725,-0.004234272467632171,0.3274194961030312,0.7082756823773559,0.7082756823773559,0.6878023289124863,0.9656263439009101,0.543560974625479,0.019914834279220358,0.6956780124935842,0.9456209570061811,-0.03872797173465139,0.05702042408606384,0.16832599031196954,0.16825506863848508,0.5176415048533524,0.09135007962611952,0.9394281748131948,0.847848117965708,0.7420536865003535,0.28799660658854176,0.24698398545001365,0.07632290903362665,-0.8711855998615661,-0.5944146736534829,0.5944146736534837,0.1783347041698385,0.5803725371157321,0.10326269374283503,0.6919875117938292,0.9415020962857992,0.606751509520551,-0.03854987772556804,-0.03627304932124334,0.08793203532267915,0.08946642850095023,-0.060992401302826384,-0.4802167846898725,-0.02991476040199,0.624257107205182,-0.07545776099765134,0.42346205308327495,-0.12748444839223264,-0.07087717210635501,-0.14555150436987935,0.2419491166235957,-0.10180325852851804,-0.5287929785152932,0.3998799147365128,0.0508324898588091,0.29231929565822784,-0.04022755451229263,-0.26127731577526675,0.6104962880474452,-0.061624934413443015,0.7825772244300725,0.5973496310411598,-0.5952206186937008,-0.06434164354992034,-0.09441981384183488,0.1142509804683619,-0.09740979025620994,-0.0068662016077213174,0.13900793187084332,-0.04022755451229263,0.6104962880474452,0.6159986627082872,-0.20895955856231477,0.014082880480657384,0.5788347268894166,0.8486610008973332,-0.39997604544704307,-0.8243990578376361,0.9753404861691513,-0.07247526359961613,0.15888486620904133,0.23934453736367337,-0.7319622000759166,0.5931869140948908,-0.018155882625180402,0.02744356553197254,,0.35245018545367673
 Operating Gross Margin,-0.38193288229214023,0.27185590156819256,0.24997917563843208,0.23933963181916545,1.0,0.9999787422863063,0.6825110760711398,0.3115045753524995,0.2758552043635626,0.007594549222440855,0.24873522675733026,-0.45987124597834717,0.3487909520172873,0.2757482911262473,-0.12101711348341362,0.36452906235833366,0.2257509129366326,0.2257509129366326,0.22405587675763625,0.2669485077780267,0.21985913544597344,-0.33139219979488793,0.45918251648794073,0.30224833244690874,-0.018933780723218302,0.06348393169611813,0.12768996848620096,0.12724907146967138,0.1255463166900507,0.038925954909768266,0.2553288196869993,0.1125706186017693,0.18141773470672704,0.06209074485796741,0.08453031453411616,-0.07104940646793116,-0.15635828569509722,-0.1814550447245451,0.18145504472454557,-0.023357800296675498,-0.08267419656670928,-0.05554534504544815,0.4586705660385301,0.30261555240961385,-0.16607083701256922,-0.32262268286461737,-0.14980271411819668,0.0383261414728443,0.16603414191003987,-0.038281889696160615,-0.3359975401649305,-0.4217953960714166,0.2525334211658483,-0.3256031729044658,0.033427837869919666,-0.22590389081989917,-0.2835138961825429,0.04401070498124165,0.07244440170548876,-0.07173852350715698,-0.30608730924029,0.16706213884061852,0.006700529595289333,0.012381569863050983,-0.2565297454221523,0.03185260375456071,-0.059434842208060064,0.04165478314867935,0.24491260042063787,0.20513505340927948,0.44122943484260946,0.04597409713877183,0.23221476069071842,0.019642594891047898,0.2660252658263375,0.10649193773576955,0.09217200412174337,-0.2565297454221523,-0.059434842208060064,0.02005167029138198,0.10424322065908968,0.05742798750232037,0.22500522966563896,0.11842740310236295,-0.14636073884302947,-0.0678955011905411,0.2758424360748967,0.017989683483300295,0.23204309231285575,0.9999999824853236,-0.019500740918291865,-0.027119686375734822,0.06276119162032137,-0.09008870375480685,,0.08420013325601462
 Realized Sales Gross Margin,-0.38175089550827224,0.2715449173515684,0.24971337735964516,0.23907283996338752,0.9999787422863063,1.0,0.6823229130427716,0.3113225717178217,0.27573087593040085,0.00747485652223262,0.24871551436648165,-0.45960215092112067,0.348440895814366,0.27581991659124244,-0.12147669114236886,0.3637226692918494,0.2252002398036131,0.2252002398036131,0.2234159569396087,0.26670225810631315,0.22012838540555235,-0.3309871516172139,0.4590822721874231,0.3019990370461654,-0.01953901138487403,0.06333160931944781,0.12766203448142738,0.12722341529742956,0.1252960144506007,0.03840508192113162,0.25500858387726655,0.11260768068737795,0.18158241038277015,0.06175669097138773,0.08436811275375514,-0.0711282851321299,-0.1561357087096721,-0.18096147836420615,0.18096147836420648,-0.023693542825394938,-0.08244014521540378,-0.05535917457769001,0.45856630760380884,0.30232426113896976,-0.1661319252395888,-0.3223103128489892,-0.14927145961251576,0.037523930566038276,0.16617515529781174,-0.03775761057944453,-0.3355885568443338,-0.42159070565054924,0.25245981750588975,-0.3258528432869899,0.032771485142202385,-0.22602730538621538,-0.2838348917495162,0.04422530519245682,0.0722832799482053,-0.07250174999106893,-0.30567750603129185,0.16704000123655466,0.006186978211742288,0.011744085354210874,-0.2565598706742553,0.031344890139158886,-0.059310751298275496,0.04209176812491389,0.24465481224063182,0.2044672885136304,0.44158926992319836,0.04658801498640233,0.23159844618993353,0.018479523520018668,0.2662676503515075,0.1059612513988048,0.09278117854342327,-0.2565598706742553,-0.059310751298275496,0.02028695510966479,0.1037903153239788,0.0569241118782284,0.22517438147806534,0.11826057544747172,-0.14556493810171628,-0.06784990725833057,0.2755128594308174,0.018046450892279943,0.23168299229285183,0.9999789514146022,-0.019517866906047815,-0.02699589981227419,0.06283861744553258,-0.09114247706143998,,0.08375513966583259
 Operating Profit Rate,-0.5984097524374167,0.6413300246544705,0.5767470623998733,0.5924701316831535,0.6825110760711398,0.6823229130427716,1.0,0.6057802590856385,0.567581256521891,0.19527937778211765,0.5564629677595546,-0.13279404471749467,0.21008944924267753,0.4784604689205189,-0.04123756723493283,0.5582924958360831,0.5277235482354591,0.5277235482354591,0.5065484550907217,0.6241437819601097,0.5257073264117159,0.02694795631685236,0.8734722821079322,0.6561677657417495,-0.027462755407890532,0.14696495616224425,0.12214666535687524,0.12178096634914204,0.2342760216914459,0.14906859009937945,0.5835043531724134,0.30419908801364975,0.44765169648335024,0.3045504626352851,0.28552479835730465,-0.020314224225054342,-0.37049066650954443,-0.38677781420434876,0.38677781420434953,0.05973570398794228,0.05224195196462154,-0.03265021563765343,0.8740174718608366,0.6576499419903136,0.08270000387734354,0.002301062551700044,-0.08409919303394221,0.05757680891048156,0.105820998429957,-0.19067571596461788,-0.1964418606258261,-0.1087050099671845,0.7268385585579942,-0.2618199490621416,0.31876950421228506,0.02686592798717398,-0.0007720007260094811,0.09822120548469869,0.29147202877887485,-0.19610379350081192,-0.3480454875654849,0.44944381491169766,-0.024929771389523403,0.220201819694041,-0.06336439760421182,0.07575038010012386,0.07908475528074087,-0.12828859822370148,0.5529750344963718,0.6194106688856568,0.036395752120237275,0.00033325693692050253,0.08317218845162047,0.04022339102382189,0.09696152248600279,0.15270306055478872,0.08269486204328325,-0.06336439760421182,0.07908475528074087,0.13564031673158378,0.14742776272544766,0.1583544514680845,0.5112561543095661,0.32376128585084296,-0.3851907379052911,-0.24051505247681865,0.6017204539552298,-0.13246744723186582,0.28420849873250265,0.6824989656399922,-0.14719721614759598,0.06860679406605179,-0.0503272138066298,-0.05013849702124529,,0.27648740847065395
 Pre-tax net Interest Rate,-0.6180432870533591,0.6656058565066761,0.6625515382516501,0.6501966178375882,0.3115045753524995,0.3113225717178217,0.6057802590856385,1.0,0.9947163056031127,0.8986105321339397,0.9598707647563658,-0.06469679832555626,0.31129287719836723,0.36953177930630327,-0.18800355813182376,0.3241081570301321,0.6457040533596942,0.6457040533596942,0.5737194653970911,0.7389389827713969,0.41673468435416156,-0.05932524618869935,0.4862588220761068,0.759344829185455,-0.23141511866033043,0.08548526037914422,0.12028875016176355,0.121915479746668,0.24213943615477881,0.13979001539218897,0.7080403534220904,0.40965204131459315,0.3839814029324804,0.2710601083139141,0.26962943157879665,0.13063568980161064,-0.5375754074744822,-0.635659804675025,0.635659804675026,0.4944674583554607,0.06737537868503962,-0.05742328149650499,0.4852926453658352,0.7509996190145836,0.05942239302623658,-0.06025574027144269,-0.1078934973245666,0.12941002327019033,0.16394069835296105,-0.0339958631949693,-0.2949635351083057,-0.09280756707388667,0.49518579728897877,-0.42667192322432723,0.2827175672316289,-0.142673619503641,-0.19305722648956336,0.031894520134517934,0.2628013142082607,-0.5091070488058921,-0.49165914908838426,0.31744784641042756,0.004912858632926343,0.18755257107028064,-0.055819417627801,-0.029375161242540075,0.0965402319698329,-0.03928539441324455,0.6936342377030306,0.8049230156118438,-0.3117238500790561,-0.05749340746388326,-0.12161129004282892,-0.1895930570240978,-0.013508057798632667,0.0448650515864649,-0.157778503854116,-0.055819417627801,0.0965402319698329,0.1052154466245805,0.01508541209382354,0.05706262270815506,0.38154314154715535,0.37003289793207256,-0.3978156008418326,-0.31765599272409967,0.6938561134478045,-0.048058862890596014,0.2543844132487852,0.31150234544490835,-0.20552166718152287,0.04728240650100207,-0.01082156535419285,0.08566506999738023,,0.48915324233690594
 After-tax net Interest Rate,-0.6166238319820857,0.6577502789332531,0.6662653698782419,0.6512568626541414,0.2758552043635626,0.27573087593040085,0.567581256521891,0.9947163056031127,1.0,0.9131704419160268,0.9599471150643555,-0.03201822765758289,0.30859171823314957,0.33297654830402784,-0.18152011614997285,0.26867788514278856,0.6304862341421622,0.6304862341421622,0.5575873958587088,0.7375046246656574,0.3892639581029861,-0.05325211345213958,0.4568758887886035,0.7513441762434625,-0.20901138285755944,0.08415359800930343,0.11397812279644158,0.115481950022125,0.24017966778761812,0.12457129717314284,0.7148728583138396,0.42511976293064485,0.3716394095329758,0.24940540581537907,0.2504911478487332,0.1386078364698077,-0.5403684580987277,-0.6238225206145442,0.623822520614546,0.5080949827859275,0.08771252305856889,-0.036339751375641355,0.45606501721226134,0.7427359908914359,0.0733654494232693,-0.05768797094604058,-0.10069536645787998,0.12445482480061341,0.1543079833535156,-0.03509408583119403,-0.2897529150693844,-0.08481202211182923,0.47779614695720146,-0.41981319652157606,0.27318052483819966,-0.14893289244370242,-0.2015760807005342,0.018366638708961384,0.24371410495574822,-0.5096059015567215,-0.48937096210957304,0.28270725955095155,0.021156436294293705,0.1678067105100696,-0.06569723984357653,-0.04137163038624118,0.1109598331366152,-0.008283231945958713,0.686381968043831,0.799955294503562,-0.33880390457389115,-0.06174999862257066,-0.12107099147030873,-0.19863308419993866,-0.023713238679751104,0.026788631394833406,-0.17112540499954892,-0.06569723984357653,0.1109598331366152,0.1315603043073997,-0.008547588157056297,0.038275247961333456,0.3515557645794596,0.37524624955433217,-0.3902324118289063,-0.32919690667200174,0.6970677860749727,-0.029431203606803295,0.24210054433149505,0.2758515961297036,-0.2168056414089502,0.06402929798540538,-0.005236740308261914,0.08108572547753634,,0.4735541076683888
 Non-industry income and expenditure/revenue,-0.4318035369145242,0.46682934362645406,0.49869609929003034,0.4747847139421756,0.007594549222440855,0.00747485652223262,0.19527937778211765,0.8986105321339397,0.9131704419160268,1.0,0.8763363381068546,-0.00651262185697648,0.2678694456061851,0.19158595761710717,-0.2088845940532953,0.09162235745441136,0.5048865347459633,0.5048865347459633,0.4278339314357268,0.5666861001020885,0.22376053009692634,-0.08798977562299652,0.11773033493048543,0.5741777243291367,-0.27005507867719114,0.02443817713832241,0.08092349960911434,0.08313009995313192,0.16932316269668032,0.09007598514385987,0.5510437086814999,0.3372955146624727,0.2264798250129711,0.16613892075620046,0.17484841035767731,0.1722418947168708,-0.45835155242751896,-0.5702200500756252,0.5702200500756258,0.5765672898319161,0.05433804058851295,-0.0526772895406933,0.11623876569800108,0.5630724297631399,0.02773476827504192,-0.07557672191480437,-0.08665375840195697,0.12782169439522922,0.14377804274512582,0.0632349968643221,-0.2552651257722172,-0.05447864332026854,0.20957120603275442,-0.38155473501696285,0.1726737326824059,-0.1906797818580715,-0.23752988680568285,-0.014882127418859718,0.16315742361225125,-0.5193918098472369,-0.41406282721958027,0.14343201432978422,0.019785841214390695,0.10976582230379797,-0.033841785476175036,-0.07806426233536709,0.07548842448281615,0.02232032284906051,0.550063551235241,0.6506212478089802,-0.40434770894536815,-0.07110007772657947,-0.1957747273330261,-0.25589509451657066,-0.07015763714074313,-0.02892400852946775,-0.24009155722812123,-0.033841785476175036,0.07548842448281615,0.054957127209702916,-0.06273744289183054,-0.016989084868897397,0.18835476278015015,0.277637511634327,-0.27789212891917753,-0.2589919944825098,0.5235004752907576,0.013788943078502106,0.15681220444962418,0.0075984760921769595,-0.1722342105197588,0.02054385038691951,0.014470072360305487,0.13317380170877038,,0.4504578032258712
